"LINK","Ragione.sociale","Indirizzo","Città","Provincia","Regione","Partita.IVA","Codice.Fiscale","REA","ATECO","Attività.prevalente","Fatturato","Utile","Costo.del.personale","N..Dipendenti","CamCom","Forma.giuridica","Anno.Fondazione","Stato.Attività","fatturato_num","utile_num","costo_del_personale_num","min_num_dipendenti","max_num_dipendenti"
"https://www.fatturatoitalia.it/gestore_dei_mercati_energetici_spa-06208031002","GESTORE DEI MERCATI ENERGETICI S.P.A.","Viale Maresciallo Pilsudski, 122/124","ROMA","ROMA","LAZIO",6208031002,6208031002,"RM 953866","35.14","Commercio di energia elettrica","€ 40.503.424.402","€ 10.616.892","€ 12.600.837","da 100 a 199","RM","Societa' per azioni","11/09/2000","Attiva",40503424402,10616892,12600837,100,199
"https://www.fatturatoitalia.it/eni_trade_biofuels_spa-10133500966","ENI TRADE & BIOFUELS S.P.A.","Piazzale Enrico Mattei, 1","ROMA","ROMA","LAZIO",10133500966,10133500966,"RM 1609163","46.71","Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","€ 36.110.164.591","€ 79.887.470","€ 42.287.472","da 100 a 199","RM","Societa' per azioni","25/05/2020","Attiva",36110164591,79887470,42287472,100,199
"https://www.fatturatoitalia.it/eni_spa-00484960588","ENI S.P.A.","Piazzale Enrico Mattei, 1","ROMA","ROMA","LAZIO",905811006,484960588,"RM 756453","19.20.1","Raffinerie di petrolio","€ 35.026.371.529","€ 6.419.275.358","€ 1.280.258.724","oltre 1000","RM","Societa' per azioni","30/07/1992","Attiva",35026371529,6419275358,1280258724,1000,Inf
"https://www.fatturatoitalia.it/enel_energia_spa-06655971007","ENEL ENERGIA S.P.A.","Via Luigi Boccherini, 15","ROMA","ROMA","LAZIO",6655971007,6655971007,"RM 1150724","35.14","Commercio di energia elettrica","€ 23.177.386.237","€ 1.508.296.301","€ 149.654.098","oltre 1000","RM","Societa' per azioni","15/12/2006","Attiva",23177386237,1508296301,149654098,1000,Inf
"https://www.fatturatoitalia.it/stellantis_europe_spa-07973780013","STELLANTIS EUROPE S.P.A.","Corso Giovanni Agnelli, 200","TORINO","TORINO","PIEMONTE",7973780013,7973780013,"TO 934697","29.1","Fabbricazione di autoveicoli","€ 21.323.834.620","€ -311.517.353","€ 2.022.375.127","oltre 1000","TO","Societa' per azioni","21/04/2000","Attiva",21323834620,-311517353,2022375127,1000,Inf
"https://www.fatturatoitalia.it/kuwait_petroleum_italia_spa-00435970587","KUWAIT PETROLEUM ITALIA S.P.A.","Viale Dell Oceano Indiano, 13","ROMA","ROMA","LAZIO",891951006,435970587,"RM 73832","19.20.1","Raffinerie di petrolio","€ 15.142.914.487","€ 58.387.265","€ 78.659.502","da 500 a 999","RM","Societa' per azioni","03/07/1934","Attiva",15142914487,58387265,78659502,500,999
"https://www.fatturatoitalia.it/gestore_dei_servizi_energetici_gse_spa-05754381001","GESTORE DEI SERVIZI ENERGETICI - GSE S.P.A.","Viale Pilsudski Maresciallo, 92","ROMA","ROMA","LAZIO",5754381001,5754381001,"RM 918934","35.12","Trasmissione di energia elettrica","€ 14.506.323.661","€ 15.571.199","€ 56.549.666","da 500 a 999","RM","Societa' per azioni","18/05/1999","Attiva",14506323661,15571199,56549666,500,999
"https://www.fatturatoitalia.it/enel_global_trading_spa-05918271007","ENEL GLOBAL TRADING S.P.A.","Viale Regina Margherita, 125","ROMA","ROMA","LAZIO",5918271007,5918271007,"RM 936646","46.71","Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","€ 14.481.513.962","€ 1.161.064.642","€ 51.858.253","da 250 a 499","RM","Societa' per azioni","07/02/2000","Registrata",14481513962,1161064642,51858253,250,499
"https://www.fatturatoitalia.it/enilive_spa-11403240960","ENILIVE S.P.A.","Viale Giorgio Ribotta, 51","ROMA","ROMA","LAZIO",11403240960,11403240960,"RM 1676444","46.71","Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","€ 13.162.232.455","€ 190.652.990","€ 134.399.214","oltre 1000","RM","Societa' per azioni","27/07/2022","Attiva",13162232455,190652990,134399214,1000,Inf
"https://www.fatturatoitalia.it/edison_spa-06722600019","EDISON S.P.A.","Foro Buonaparte, 31","MILANO","MILANO","LOMBARDIA",8263330014,6722600019,"MI 1698754","70.1","Attivita' di direzione aziendale","€ 12.720.885.140","€ 399.301.569","€ 172.294.982","oltre 1000","MI","Societa' per azioni","03/12/2002","Attiva",12720885140,399301569,172294982,1000,Inf
