Ragione.sociale,Città,Provincia,Regione,Attività.prevalente,Fatturato,N..Dipendenti,Forma.giuridica,Anno.Fondazione,fatturato_num,utile_num,costo_del_personale_num,min_num_dipendenti,max_num_dipendenti
CENTRO RICERCA CALZINI SPAIATI S.R.L.,ROMA,ROMA,LAZIO,Studio sui buchi neri nelle lavatrici domestiche,€ 2.500.000,da 20 a 49,Società a responsabilità limitata,1998,2500000,-50000,1800000,20,49
CONSORZIO RADDRIZZATORI TORRE DI PISA S.P.A.,PISA,PISA,TOSCANA,Tentativi vani di ingegneria civile,€ 8.300.000,da 50 a 99,Società per azioni,1950,8300000,400000,3200000,50,99
ESPORTAZIONE SOLE E MARE S.R.L.,NAPOLI,NAPOLI,CAMPANIA,Vendita all'ingrosso di ottimismo estivo,€ 12.450.000,da 10 a 19,Società a responsabilità limitata,2001,12450000,3100000,1500000,10,19
FABBRICA DI SCUSE PRONTE S.R.L.,BOLOGNA,BOLOGNA,EMILIA-ROMAGNA,Consulenza per giustificazioni scolastiche e lavorative,€ 950.00,da 1 a 9,Società a responsabilità limitata,2011,950000,120000,400000,1,9
ASSOCIAZIONE GUARDA CANTIERI S.P.A.,BOLOGNA,BOLOGNA,EMILIA-ROMAGNA,Supervisione non richiesta di opere pubbliche,€ 50.000.000,oltre 1000,Società per azioni,1960,50000000,15000000,20000000,1000,Inf
IMPORT/EXPORT ARIA FRITTA S.R.L.,MILANO,MILANO,LOMBARDIA,Commercio di concetti astratti e fuffa aziendale,€ 35.000.000,da 100 a 199,Società a responsabilità limitata,2000,35000000,8500000,10000000,100,199
CLINICA PER PIANTE FINTE S.P.A.,TORINO,TORINO,PIEMONTE,Rianimazione di ficus in poliestere,€ 4.200.000,da 20 a 49,Società per azioni,1985,4200000,300000,1100000,20,49
CENTRO ASCOLTO VOCALI WHATSAPP LUNGHI S.R.L.,FIRENZE,FIRENZE,TOSCANA,Servizio di riassunto per audio superiori a 3 minuti,€ 1.800.000,da 10 a 19,Società a responsabilità limitata,2018,1800000,450000,900000,10,19
MULTINAZIONALE DEL GOMBLOTTO S.P.A.,ROMA,ROMA,LAZIO,Diffusione di teorie sui terrapiattisti e scie chimiche,€ 150.000.000,da 500 a 999,Società per azioni,2012,150000000,45000000,30000000,500,999
VENDITA POLVERE DI FATA S.R.L.,VENEZIA,VENEZIA,VENETO,Commercio al dettaglio di sogni e brillantini,€ 800.00,da 1 a 9,Società a responsabilità limitata,1995,800000,150000,200000,1,9
SARTORIA PER UNICORNI S.A.S.,PALERMO,PALERMO,SICILIA,Confezionamento su misura per creature mitologiche,€ 500.00,da 1 a 9,Società in accomandita semplice,2005,500000,80000,150000,1,9
NOLEGGIO PARENTI PER FESTE S.R.L.,BARI,BARI,PUGLIA,Fornitura di zii finti per pranzi di Natale,€ 3.200.000,da 50 a 99,Società a responsabilità limitata,2010,3200000,600000,1800000,50,99
ACCADEMIA DELLA ZANZARA TIGRE S.P.A.,FERRARA,FERRARA,EMILIA-ROMAGNA,Corsi di volo notturno e disturbo del sonno,€ 5.600.000,da 100 a 199,Società per azioni,1990,5600000,1200000,2000000,100,199
SOCIETà SEGRETA PER LA PIZZA CON L'ANANAS S.R.L.,NAPOLI,NAPOLI,CAMPANIA,Ristorazione con abbinamenti culinari illegali,€ 150.00,da 1 a 9,Società a responsabilità limitata,2018,150000,-80000,100000,1,9
FABBRICA DI PENTOLE SENZA COPERCHIO S.P.A.,BRESCIA,BRESCIA,LOMBARDIA,Produzione di casalinghi inutilizzabili,€ 18.000.000,da 200 a 499,Società per azioni,1975,18000000,2500000,7000000,200,499
AGENZIA VIAGGI SU MARTE S.R.L.,CAGLIARI,CAGLIARI,SARDEGNA,Tour operator interplanetario low cost,€ 4.500.000,da 20 a 49,Società a responsabilità limitata,2019,4500000,800000,1200000,20,49
ISTITUTO NAZIONALE PER IL PISOLINO S.P.A.,ROMA,ROMA,LAZIO,Ricerca avanzata sulla pennichella post-pranzo,€ 25.000.000,da 500 a 999,Società per azioni,1980,25000000,5000000,12000000,500,999
CONSULENZA PER LITIGI DI CONDOMINIO S.R.L.,GENOVA,GENOVA,LIGURIA,Assistenza legale per furto di parcheggio e rumori molesti,€ 6.700.000,da 50 a 99,Società a responsabilità limitata,1996,6700000,1400000,3000000,50,99
GESTORE DELLE CODE ALLE POSTE S.P.A.,NAPOLI,NAPOLI,CAMPANIA,Approvvigionamento di numerini per saltare la fila,€ 40.000.000,oltre 1000,Società per azioni,1955,40000000,12000000,15000000,1000,Inf
OSSERVATORIO DELLE NUVOLE A FORMA DI CANE S.R.L.,BELLUNO,BELLUNO,VENETO,Ricerca meteorologica basata sulla pareidolia,€ 300.00,da 1 a 9,Società a responsabilità limitata,2004,300000,20000,150000,1,9
ESPERTI IN NODI DELLE CUFFIETTE S.P.A.,MILANO,MILANO,LOMBARDIA,Aggrovigliamento professionale di auricolari nelle tasche,€ 8.900.000,da 100 a 199,Società per azioni,2007,8900000,2100000,4000000,100,199
SINDACATO DEI GATTI DOMESTICI S.R.L.,ROMA,ROMA,LAZIO,Tutela dei diritti per croccantini migliori e divani da graffiare,€ 1.200.000,da 10 a 19,Società a responsabilità limitata,1999,1200000,300000,500000,10,19
