REGIONE,LNG,LAT
ABRUZZO,13.39843828,42.35122195
BASILICATA,15.80514950,40.63947047
CALABRIA,16.59440429,38.90597588
CAMPANIA,14.25085002,40.83956554
EMILIA ROMAGNA,11.34172080,44.49436680
FRIULI VENEZIA GIULIA,13.76813660,45.64943540
LAZIO,12.48366723,41.89277044
LIGURIA,8.93269920,44.41149314
LOMBARDIA,9.19034740,45.46679408
MARCHE,13.51887537,43.61675973
MOLISE,14.65916084,41.55774753
PIEMONTE,7.68068748,45.07327450
PUGLIA,16.86737016,41.12559562
SARDEGNA,9.11061631,39.21531191
SICILIA,13.36235675,38.11569725
TOSCANA,11.25588885,43.76923077
TRENTINO ALTO ADIGE,11.12123097,46.06893511
UMBRIA,12.38824699,43.10675840
VALLE D'AOSTA,7.32014937,45.73750285
VENETO,12.33845214,45.43490484
